filename,document_id,revision,folder_type,subfolder,local_path
D56979 HAL 4.0 Risk Management Report rev07.pdf,D56979,7,Risk Management,Risk Management Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Management Reports\D56979 HAL 4.0 Risk Management Report rev07.pdf
D57022-Rev03-HAL4.0 NPI Tooling list .pdf,D57022,3,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D57022-Rev03-HAL4.0 NPI Tooling list .pdf
D57023 HAL4.0 MFG ability evaluation Rev01.pdf,D57023,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D57023 HAL4.0 MFG ability evaluation Rev01.pdf
D57043 HAL 4.0 User Needs and Detailed Workflows Rev 2.0.docx.pdf,D57043,2,Design Input Specification,Product Requirement Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\Product Requirement Documents\D57043 HAL 4.0 User Needs and Detailed Workflows Rev 2.0.docx.pdf
D57296 HAL4.0 Clinical Mode Formative Usability Evaluation Report (China March 2021)Rev 01.docx.pdf,D57296,1,Design Validation,Test Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Reports\D57296 HAL4.0 Clinical Mode Formative Usability Evaluation Report (China March 2021)Rev 01.docx.pdf
D58101 HAL4.0 DFM checklist supporting document Rev04.pdf,D58101,4,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D58101 HAL4.0 DFM checklist supporting document Rev04.pdf
D58308 HAL 4.0 Device Description Rev 1.0.docx.pdf,D58308,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D58308 HAL 4.0 Device Description Rev 1.0.docx.pdf
D58517 HAL4.0 training record before PP REV 01.pdf,D58517,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D58517 HAL4.0 training record before PP REV 01.pdf
D58685-Rev04-HAL4.0 Traceability Plan.pdf,D58685,4,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D58685-Rev04-HAL4.0 Traceability Plan.pdf
D59164 HAL4.0 Clinical Mode Formative Study Discussion Guide Rev 01.docx.pdf,D59164,1,Design Validation,Test Plans,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Plans\D59164 HAL4.0 Clinical Mode Formative Study Discussion Guide Rev 01.docx.pdf
D59165 HAL4.0 Physics Mode Formative Study Discussion Guide Rev 01.docx.pdf,D59165,1,Design Validation,Test Plans,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Plans\D59165 HAL4.0 Physics Mode Formative Study Discussion Guide Rev 01.docx.pdf
D59288-0.1 LATE STAGE CONFIGURATION KV INSTALLATION_CRATE.pdf,D59288,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D59288-0.1 LATE STAGE CONFIGURATION KV INSTALLATION_CRATE.pdf
D59474 HAL 4.0 Validation Acceptance Test Rev 01.docx.pdf,D59474,1,Design Validation,Test Specifications,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Specifications\D59474 HAL 4.0 Validation Acceptance Test Rev 01.docx.pdf
D59521 HAL4.0 Clinical Mode Formative Usability Evaluation Report (June 2021) Rev 01.docx.pdf,D59521,1,Design Validation,Test Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Reports\D59521 HAL4.0 Clinical Mode Formative Usability Evaluation Report (June 2021) Rev 01.docx.pdf
D59523 HAL4.0 Physics Mode Formative Usability Evaluation Report (June 2021) Rev 01.docx.pdf,D59523,1,Design Validation,Test Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Reports\D59523 HAL4.0 Physics Mode Formative Usability Evaluation Report (June 2021) Rev 01.docx.pdf
D59555 HAL 4.0 Risk Management Plan rev03.pdf,D59555,3,Risk Management,Risk Management Plans,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Management Plans\D59555 HAL 4.0 Risk Management Plan rev03.pdf
D59612 HAL4.0 Prototype IQC inspection report Rev01.pdf,D59612,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D59612 HAL4.0 Prototype IQC inspection report Rev01.pdf
D59763 HAL 4.0 Software Bill of Materials Rev 01.pdf,D59763,1,Design Output Specification,Specifications,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Specifications\D59763 HAL 4.0 Software Bill of Materials Rev 01.pdf
D59764 HAL 4.0 Software Bill of Materials Review Report Rev 02.docx.pdf,D59764,2,Risk Management,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\D59764 HAL 4.0 Software Bill of Materials Review Report Rev 02.docx.pdf
D59765 HAL 4.0 Cybersecurity Risk Assessment Rev 01.pdf,D59765,1,Risk Management,Risk Management Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Management Reports\D59765 HAL 4.0 Cybersecurity Risk Assessment Rev 01.pdf
D59766 HAL 4.0 Cybersecurity Risk Assessment Review Report Rev 02.docx.pdf,D59766,2,Risk Management,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\D59766 HAL 4.0 Cybersecurity Risk Assessment Review Report Rev 02.docx.pdf
D59836 HAL-Market History-Revision 04.docx.pdf,D59836,4,Regulatory,International Submission Dossier,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\International Submission Dossier\D59836 HAL-Market History-Revision 04.docx.pdf
D60083 HAL 4.0 CTR Review Report rev01.pdf,D60083,1,Risk Management,Risk Analyses,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Analyses\D60083 HAL 4.0 CTR Review Report rev01.pdf
D60152 HAL 4.0 Imaging SyDD Rev 02.pdf,D60152,2,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D60152 HAL 4.0 Imaging SyDD Rev 02.pdf
D60174 Justification for HAL Late Stage KV System Configure on Crate Base Plate Rev 01.docx.pdf,D60174,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60174 Justification for HAL Late Stage KV System Configure on Crate Base Plate Rev 01.docx.pdf
D60463 Halcyon 4.0 TXA SyDD for ADI Hub Rev1.docx.pdf,D60463,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D60463 Halcyon 4.0 TXA SyDD for ADI Hub Rev1.docx.pdf
D60691 HAL 4.0 CTS Review Report rev01.pdf,D60691,1,Risk Management,Risk Analyses,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Analyses\D60691 HAL 4.0 CTS Review Report rev01.pdf
D60699 HAL Emergency Couch Lowering RHA rev01.pdf,D60699,1,Risk Management,Risk Analyses,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Analyses\D60699 HAL Emergency Couch Lowering RHA rev01.pdf
D60794 HAL Late-Stage Practice Summary Rev 01.docx.pdf,D60794,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60794 HAL Late-Stage Practice Summary Rev 01.docx.pdf
D60819 Gantry Balance Tool FDD Rev 01.docx.pdf,D60819,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D60819 Gantry Balance Tool FDD Rev 01.docx.pdf
D60826-CHS-02_HAL4.0 Process Control Master Plan.pdf,D60826,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60826-CHS-02_HAL4.0 Process Control Master Plan.pdf
D60826-ENU-02_HAL4.0 Process Control Master Plan Rev 02.pdf,D60826,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60826-ENU-02_HAL4.0 Process Control Master Plan Rev 02.pdf
D60827-CHS-02_HAL4.0 Manufacturing Process Map.pdf,D60827,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60827-CHS-02_HAL4.0 Manufacturing Process Map.pdf
D60827-ENU-01_HAL4.0 Manufacturing Process Map.pdf,D60827,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60827-ENU-01_HAL4.0 Manufacturing Process Map.pdf
D60827-ENU-02_HAL4.0 Manufacturing Process Map.pdf,D60827,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60827-ENU-02_HAL4.0 Manufacturing Process Map.pdf
D60839_Halcyon 4.0 Couch APP and HW FPGA CDD Rev 01.docx.pdf,D60839,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D60839_Halcyon 4.0 Couch APP and HW FPGA CDD Rev 01.docx.pdf
D60865 Halcyon 4.0 Stand Controller APP and HW FPGA CDD Rev 01.docx.pdf,D60865,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D60865 Halcyon 4.0 Stand Controller APP and HW FPGA CDD Rev 01.docx.pdf
D60919-ENU-Rev 02-HAL4.0 Master Validation Plan MVP.pdf,D60919,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60919-ENU-Rev 02-HAL4.0 Master Validation Plan MVP.pdf
D60965 BJ-HAL-SWO-198  Hal4.0 project.pdf,D60965,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D60965 BJ-HAL-SWO-198  Hal4.0 project.pdf
D61143 HAL 4.0 System Build ERM TRR1 Rev1.pdf,D61143,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D61143 HAL 4.0 System Build ERM TRR1 Rev1.pdf
D61200 HAL 4.0 DFMEA rev01.pdf,D61200,1,Risk Management,Design FMEAs,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Design FMEAs\D61200 HAL 4.0 DFMEA rev01.pdf
D61255 HAL4.0 BOM structure review report Rev 01.pdf,D61255,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D61255 HAL4.0 BOM structure review report Rev 01.pdf
D61256-HSE-CHS-0.1_HAL Packaging_HAL4.0  BISIC KV IMAGING UPGARDE KIT.pdf,D61256,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D61256-HSE-CHS-0.1_HAL Packaging_HAL4.0  BISIC KV IMAGING UPGARDE KIT.pdf
D61261-HSE-CHS-0.1_HAL Packaging_HAL4.0  ASSY EXIO UPGARDE KIT .pdf,D61261,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D61261-HSE-CHS-0.1_HAL Packaging_HAL4.0  ASSY EXIO UPGARDE KIT .pdf
D61387 Halcyon 4.0 TXA SyDD for CBCTp Support.docx.pdf,D61387,,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D61387 Halcyon 4.0 TXA SyDD for CBCTp Support.docx.pdf
D61411 Halcyon 4.0 BGM APP and HW FPGA CDD Rev01.docx.pdf,D61411,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D61411 Halcyon 4.0 BGM APP and HW FPGA CDD Rev01.docx.pdf
D61417 CBCT Reconstructor 3.4 Reconstruction Algorithms FDD v1.docx.pdf,D61417,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D61417 CBCT Reconstructor 3.4 Reconstruction Algorithms FDD v1.docx.pdf
D61845 Halcyon-Ethos_IFU_ReviewReport Rev05.docx.pdf,D61845,5,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D61845 Halcyon-Ethos_IFU_ReviewReport Rev05.docx.pdf
D61876 Gantry Balance Tool Engineering Test Rev 01.docx.pdf,D61876,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D61876 Gantry Balance Tool Engineering Test Rev 01.docx.pdf
D61886 Physics Mode Dose Calibration Engineering Test Report Rev 01.docx.pdf,D61886,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D61886 Physics Mode Dose Calibration Engineering Test Report Rev 01.docx.pdf
D61888 Physics Mode Periodic QA Test Report Rev 01.docx.pdf,D61888,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D61888 Physics Mode Periodic QA Test Report Rev 01.docx.pdf
D62060 CBCTp Workflow Engineering Test Report Rev 01.docx.pdf,D62060,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D62060 CBCTp Workflow Engineering Test Report Rev 01.docx.pdf
D62076 Physics Mode Application Engineering Test Report Rev 01.docx.pdf,D62076,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D62076 Physics Mode Application Engineering Test Report Rev 01.docx.pdf
D62090 HAL 4.0 Console Software RuntimeEnvSpec Rev1.docx.pdf,D62090,1,Design Output Specification,Specifications,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Specifications\D62090 HAL 4.0 Console Software RuntimeEnvSpec Rev1.docx.pdf
D62414 Rev01_HAL4.0 Change Request – Adding San Jose factory to do HAL4.0 LSC.pdf,D62414,1,Design Changes,Change Requests,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Changes\Change Requests\D62414 Rev01_HAL4.0 Change Request – Adding San Jose factory to do HAL4.0 LSC.pdf
D62523 HAL 4.0 Service User Needs and Detailed Workflows Rev 3.0.docx.pdf,D62523,3,Design Input Specification,Product Requirement Documents,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\Product Requirement Documents\D62523 HAL 4.0 Service User Needs and Detailed Workflows Rev 3.0.docx.pdf
D63138-HSE-CHS-0.1_HAL Packaging_HAL4.0 HARDWARE UPGRADE KIT.pdf,D63138,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D63138-HSE-CHS-0.1_HAL Packaging_HAL4.0 HARDWARE UPGRADE KIT.pdf
D63139-HSE-CHS-0.1_HAL Packaging_HAL4.0  IMAGER UPGARDE KIT .pdf,D63139,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D63139-HSE-CHS-0.1_HAL Packaging_HAL4.0  IMAGER UPGARDE KIT .pdf
D63140-HSE-CHS-0.1_HAL Packaging_HAL4.0  KV TO ADV KV  UPGARDE KIT.pdf,D63140,,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D63140-HSE-CHS-0.1_HAL Packaging_HAL4.0  KV TO ADV KV  UPGARDE KIT.pdf
D63143-Rev 04-HAL4.0 MI Structure.pdf,D63143,4,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D63143-Rev 04-HAL4.0 MI Structure.pdf
D63524 HAL 4.0 System Build ERM TRR1.1 Rev1.docx.pdf,D63524,1,Design Output Specification,Engineering Release Memos,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Engineering Release Memos\D63524 HAL 4.0 System Build ERM TRR1.1 Rev1.docx.pdf
D63530 Halcyon 4.0 Physics Mode System Design Description Rev 1.0.doc.pdf,D63530,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D63530 Halcyon 4.0 Physics Mode System Design Description Rev 1.0.doc.pdf
D63662 HAL 4.0 System Requirements Specification rev 02.pdf,D63662,2,Design Input Specification,System Requirement Specifications,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Input Specification\System Requirement Specifications\D63662 HAL 4.0 System Requirements Specification rev 02.pdf
D63814 HAL 4.0 DIBH for kVCBCT with Identify EXGI Feature Design Description Rev 1.pdf,D63814,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D63814 HAL 4.0 DIBH for kVCBCT with Identify EXGI Feature Design Description Rev 1.pdf
D63983 Halcyon 4.0 UA Checklist Rev 01.pdf,D63983,1,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D63983 Halcyon 4.0 UA Checklist Rev 01.pdf
D63984 Halcyon-Ethos_QRG (P1039650-003-C_P1039651-003-C) ReviewReport Rev04.docx.pdf,D63984,4,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D63984 Halcyon-Ethos_QRG (P1039650-003-C_P1039651-003-C) ReviewReport Rev04.docx.pdf
D63986 Halcyon-Ethos_MPC_ReviewReport Rev03.docx.pdf,D63986,3,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D63986 Halcyon-Ethos_MPC_ReviewReport Rev03.docx.pdf
D63994 HAL 4.0 IEC Type Tests Review Report Rev 02.docx.pdf,D63994,2,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D63994 HAL 4.0 IEC Type Tests Review Report Rev 02.docx.pdf
D64386 HAL 4.0 Couch Emergency Lowering Feature Design Description rev 01.pdf,D64386,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D64386 HAL 4.0 Couch Emergency Lowering Feature Design Description rev 01.pdf
D64392 HAL4.0 Manufacturing License Application Procedure Rev01.pdf,D64392,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D64392 HAL4.0 Manufacturing License Application Procedure Rev01.pdf
D64494 HAL 4.0 Feature Comparison Chart Rev 1.0.docx.pdf,D64494,1,Regulatory,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\D64494 HAL 4.0 Feature Comparison Chart Rev 1.0.docx.pdf
D64583 HAL 4.0 Quote to Cash Process Review Rev 05.pdf,D64583,5,Design Transfer,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\D64583 HAL 4.0 Quote to Cash Process Review Rev 05.pdf
D64796 HAL4.0 Couch test tooling console TDD  Rev03.pdf,D64796,3,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D64796 HAL4.0 Couch test tooling console TDD  Rev03.pdf
D64910 HAL 4.0 System Design Description Rev 01.pdf,D64910,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D64910 HAL 4.0 System Design Description Rev 01.pdf
D64911 HAL SmartConnect Security Mitigations Impact Analysis Rev 01.docx.pdf,D64911,1,Risk Management,Risk Analyses,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Risk Analyses\D64911 HAL SmartConnect Security Mitigations Impact Analysis Rev 01.docx.pdf
D64916 Halcyon 4.0 TXA SyDD for IEC4 Edition Features Rev 1.0.docx.pdf,D64916,1,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D64916 Halcyon 4.0 TXA SyDD for IEC4 Edition Features Rev 1.0.docx.pdf
D64929 HAL 4.0 Validation Test Design Strategy Rev 02.docx.pdf,D64929,2,Design Validation,Test Plans,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Plans\D64929 HAL 4.0 Validation Test Design Strategy Rev 02.docx.pdf
D64997 HAL4.0 Change Request_Kemnath takes place of Crawley to build HAL4.0 Rev 01.pdf,D64997,1,Design Changes,Change Requests,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Changes\Change Requests\D64997 HAL4.0 Change Request_Kemnath takes place of Crawley to build HAL4.0 Rev 01.pdf
D65231 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.5.2 - Interruption of Irradiation Rev 01.pdf,D65231,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65231 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.5.2 - Interruption of Irradiation Rev 01.pdf
D65245 HAL 4.0 Packaging Validation Protocol and Report Rev 04.docx.pdf,D65245,4,Design Validation,Test Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Test Reports\D65245 HAL 4.0 Packaging Validation Protocol and Report Rev 04.docx.pdf
D65292 HAL4.0 2022 IEC 60601-2-1(2020) 201.10.101.4.1 - LEAKAGE X-RADIATION outside the PATIENT plane Report Rev 01.pdf,D65292,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65292 HAL4.0 2022 IEC 60601-2-1(2020) 201.10.101.4.1 - LEAKAGE X-RADIATION outside the PATIENT plane Report Rev 01.pdf
D65336_HAL_4.0_MI_CR_for_SBC6911_Rev_01.pdf,D65336,1,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D65336_HAL_4.0_MI_CR_for_SBC6911_Rev_01.pdf
D65469 HAL 4.0 Revision Level History Rev 3.0.docx.pdf,D65469,3,Regulatory,International Submission Dossier,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\International Submission Dossier\D65469 HAL 4.0 Revision Level History Rev 3.0.docx.pdf
D65617 HAL4 DCS Rev 02.docx.pdf,D65617,2,Design Output Specification,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\D65617 HAL4 DCS Rev 02.docx.pdf
D65646 HAL4.0 2022 IEC 60601-2-1(2020) 201.10.101.2.2 - RELATIVE SURFACE DOSE during X-IRRADIATION Report Rev 02.pdf,D65646,2,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65646 HAL4.0 2022 IEC 60601-2-1(2020) 201.10.101.2.2 - RELATIVE SURFACE DOSE during X-IRRADIATION Report Rev 02.pdf
D65651 Halcyon-Ethos 4.0 IFU (P1058124-001-A) User Assistance Checklist Rev01.docx.pdf,D65651,1,Design Output Specification,Labeling,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Labeling\D65651 Halcyon-Ethos 4.0 IFU (P1058124-001-A) User Assistance Checklist Rev01.docx.pdf
D65864 HAL 4.0 Early Validation Summary Report Rev 01.docx.pdf,D65864,1,Design Validation,Verification and Validation Summary Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Verification and Validation Summary Reports\D65864 HAL 4.0 Early Validation Summary Report Rev 01.docx.pdf
D65872 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.1.2 - DOSE MONITORING SYSTEMS Rev 01.pdf,D65872,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65872 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.1.2 - DOSE MONITORING SYSTEMS Rev 01.pdf
D65886 HAL 4.0 Validation Scorecard Rev 02.docx.pdf,D65886,2,Design Validation,Verification and Validation Summary Reports,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Validation\Verification and Validation Summary Reports\D65886 HAL 4.0 Validation Scorecard Rev 02.docx.pdf
D65887 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.1.5 - TERMINATION OF IRRADIATION by DOSE MONITORING SYSTEM Rev 01.docx.pdf,D65887,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65887 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.1.5 - TERMINATION OF IRRADIATION by DOSE MONITORING SYSTEM Rev 01.docx.pdf
"D65918 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.10 - Selection, VERIFICATION and DISPLAY of TABLE TOP and TABLE TOP SUPPORT positions Rev 01.docx.pdf",D65918,1,Regulatory,Test Reports - Regulatory Compliance,"C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65918 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.10 - Selection, VERIFICATION and DISPLAY of TABLE TOP and TABLE TOP SUPPORT positions Rev 01.docx.pdf"
D65919 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.17 - TERMINATION OF IRRADIATION Rev 01.pdf,D65919,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65919 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.17 - TERMINATION OF IRRADIATION Rev 01.pdf
D65920 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.18- Abnormal TERMINATION OF IRRADIATION Rev 01.docx.pdf,D65920,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D65920 HAL4.0 IEC 60601-2-1 (2020) 201.10.101.1.18- Abnormal TERMINATION OF IRRADIATION Rev 01.docx.pdf
