filename,document_id,revision,folder_type,subfolder,local_path
D101279 106485676MIN-004  IEC60601-1-3 Ed.2.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101279,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D101279 106485676MIN-004  IEC60601-1-3 Ed.2.2 HAL4.0_30_APR_2026 Rev 1.pdf
D101280 106485676MIN-005  IEC60601-2-1 Ed.4.0 HAL4.0_30_APR_2026 Rev 1.pdf,D101280,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D101280 106485676MIN-005  IEC60601-2-1 Ed.4.0 HAL4.0_30_APR_2026 Rev 1.pdf
D101281 106485676MIN-006  IEC60601-2-44 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf,D101281,1,Regulatory,Test Reports - Regulatory Compliance,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Regulatory\Test Reports - Regulatory Compliance\D101281 106485676MIN-006  IEC60601-2-44 Ed.3.2 HAL4.0_30_APR_2026 Rev 1.pdf
D101531 - HAL CCH Rail Vendor Change – DFMEA Design Review.docx.pdf,D101531,,Risk Management,Design FMEAs,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Risk Management\Design FMEAs\D101531 - HAL CCH Rail Vendor Change – DFMEA Design Review.docx.pdf
D10532 HAL Glossary Rev 13.0.docx.pdf,D10532,13,Design Output Specification,,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\D10532 HAL Glossary Rev 13.0.docx.pdf
D11956 Halcyon 4.0 BGM Controller CDD Rev 4.0.doc.pdf,D11956,4,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D11956 Halcyon 4.0 BGM Controller CDD Rev 4.0.doc.pdf
D19127 Halcyon 4.0 CCH PCB CDD Rev 3.0.doc.pdf,D19127,3,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D19127 Halcyon 4.0 CCH PCB CDD Rev 3.0.doc.pdf
D19996 Halcyon 2.0 Manufacturing Plan - Rev04.pdf,D19996,4,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D19996 Halcyon 2.0 Manufacturing Plan - Rev04.pdf
D20768 HAL Couch Subsystem Test Requirements Rev02.pdf,D20768,2,Design Transfer,Manufacturing Documentation,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Transfer\Manufacturing Documentation\D20768 HAL Couch Subsystem Test Requirements Rev02.pdf
D20983 Symmetric Monitoring of X-ray Beam Rev 02.pdf,D20983,2,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D20983 Symmetric Monitoring of X-ray Beam Rev 02.pdf
D23997 Halcyon v2 Design and Development Plan Rev 01.pdf,D23997,2,01. Design and Development Planning,01. System,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\01. Design and Development Planning\01. System\D23997 Halcyon v2 Design and Development Plan Rev 01.pdf
D25036 Test Automation Overview Document Rev 06.docx.pdf,D25036,6,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D25036 Test Automation Overview Document Rev 06.docx.pdf
D26790 HAL Photo Like Images Rev 5.0.docx.pdf,D26790,5,Design Output Specification,Design Descriptions,C:\Users\z005a2sy\Audit-Rag\Audit-Rag\docs\Design Output Specification\Design Descriptions\D26790 HAL Photo Like Images Rev 5.0.docx.pdf
